Ewe/V	<I>/mA	time/s	cycle number	(Q-Qo)/C	I Range	Rcmp/Ohm	
-5.1193543E-002	-5.502810286594044E-004	1.992669949660922E+001	1.000000000000000E+000	-2.5600493E-005	14	0.0000000E+000
-5.0618213E-002	-5.474577594503753E-004	1.997669949534611E+001	1.000000000000000E+000	-2.5627856E-005	14	0.0000000E+000
-5.0191134E-002	-5.453849009561442E-004	2.002659949408553E+001	1.000000000000000E+000	-2.5655034E-005	14	0.0000000E+000
-4.9642701E-002	-5.429590269840231E-004	2.007649949282495E+001	1.000000000000000E+000	-2.5682117E-005	14	0.0000000E+000
-4.9138486E-002	-5.407048087679709E-004	2.012649949156184E+001	1.000000000000000E+000	-2.5709131E-005	14	0.0000000E+000
-4.8678577E-002	-5.387128912856590E-004	2.017639949030126E+001	1.000000000000000E+000	-2.5735993E-005	14	0.0000000E+000
-4.8184197E-002	-5.365410278750787E-004	2.022629948904068E+001	1.000000000000000E+000	-2.5762734E-005	14	0.0000000E+000
-4.7640707E-002	-5.345282095617597E-004	2.027629948777758E+001	1.000000000000000E+000	-2.5789435E-005	14	0.0000000E+000
-4.7236282E-002	-5.320141162136450E-004	2.032629948651447E+001	1.000000000000000E+000	-2.5816005E-005	14	0.0000000E+000
-4.6678994E-002	-5.296736991273580E-004	2.037619948525389E+001	1.000000000000000E+000	-2.5842426E-005	14	0.0000000E+000
-4.6211936E-002	-5.279164863765803E-004	2.042609948399331E+001	1.000000000000000E+000	-2.5868729E-005	14	0.0000000E+000
-4.5634486E-002	-5.253582514807944E-004	2.047609948273021E+001	1.000000000000000E+000	-2.5894989E-005	14	0.0000000E+000
-4.5182731E-002	-5.233843189774833E-004	2.052599948146963E+001	1.000000000000000E+000	-2.5921068E-005	14	0.0000000E+000
-4.4656839E-002	-5.211847500403441E-004	2.057589948020905E+001	1.000000000000000E+000	-2.5947065E-005	14	0.0000000E+000
-4.4184476E-002	-5.194094207234550E-004	2.062589947894594E+001	1.000000000000000E+000	-2.5972979E-005	14	0.0000000E+000
-4.3701492E-002	-5.169334413808800E-004	2.067589947768283E+001	1.000000000000000E+000	-2.5998814E-005	14	0.0000000E+000
-4.3187883E-002	-5.150634601966859E-004	2.072579947642225E+001	1.000000000000000E+000	-2.6024472E-005	14	0.0000000E+000
-4.2701561E-002	-5.132062300362852E-004	2.077569947516167E+001	1.000000000000000E+000	-2.6050044E-005	14	0.0000000E+000
-4.2197350E-002	-5.107805493359735E-004	2.082569947389857E+001	1.000000000000000E+000	-2.6075548E-005	14	0.0000000E+000
-4.1705430E-002	-5.088744834063439E-004	2.087559947263799E+001	1.000000000000000E+000	-2.6100919E-005	14	0.0000000E+000
-4.1184682E-002	-5.067822141234003E-004	2.092549947137741E+001	1.000000000000000E+000	-2.6126159E-005	14	0.0000000E+000
-4.0670916E-002	-5.045833707163425E-004	2.097549947011430E+001	1.000000000000000E+000	-2.6151371E-005	14	0.0000000E+000
-4.0195365E-002	-5.025716472588952E-004	2.102549946885119E+001	1.000000000000000E+000	-2.6176451E-005	14	0.0000000E+000
-3.9713744E-002	-5.001029374616711E-004	2.107539946759061E+001	1.000000000000000E+000	-2.6201402E-005	14	0.0000000E+000
-3.9147668E-002	-4.979493092340758E-004	2.112529946633003E+001	1.000000000000000E+000	-2.6226222E-005	14	0.0000000E+000
-3.8646635E-002	-4.960730295290308E-004	2.117529946506693E+001	1.000000000000000E+000	-2.6251013E-005	14	0.0000000E+000
-3.8241398E-002	-4.942110857669071E-004	2.122519946380635E+001	1.000000000000000E+000	-2.6275637E-005	14	0.0000000E+000
-3.7700843E-002	-4.918783091026646E-004	2.127509946254577E+001	1.000000000000000E+000	-2.6300180E-005	14	0.0000000E+000
-3.7181772E-002	-4.902490828512331E-004	2.132509946128266E+001	1.000000000000000E+000	-2.6324653E-005	14	0.0000000E+000
-3.6689240E-002	-4.885017326845291E-004	2.137509946001956E+001	1.000000000000000E+000	-2.6349051E-005	14	0.0000000E+000
-3.6186334E-002	-4.860495542866649E-004	2.142499945875898E+001	1.000000000000000E+000	-2.6373282E-005	14	0.0000000E+000
-3.5694618E-002	-4.844647079803519E-004	2.147489945749840E+001	1.000000000000000E+000	-2.6397427E-005	14	0.0000000E+000
-3.5202079E-002	-4.821514137248696E-004	2.152489945623529E+001	1.000000000000000E+000	-2.6421509E-005	14	0.0000000E+000
-3.4695949E-002	-4.802753870005744E-004	2.157479945497471E+001	1.000000000000000E+000	-2.6445454E-005	14	0.0000000E+000
-3.4205336E-002	-4.781615092909223E-004	2.162469945371413E+001	1.000000000000000E+000	-2.6469277E-005	14	0.0000000E+000
-3.3678830E-002	-4.765189053653983E-004	2.167469945245102E+001	1.000000000000000E+000	-2.6493079E-005	14	0.0000000E+000
-3.3186294E-002	-4.744339507214614E-004	2.172469945118792E+001	1.000000000000000E+000	-2.6516758E-005	14	0.0000000E+000
-3.2716051E-002	-4.725819622930054E-004	2.177449944992986E+001	1.000000000000000E+000	-2.6540270E-005	14	0.0000000E+000
-3.2191671E-002	-4.705457587092024E-004	2.182449944866676E+001	1.000000000000000E+000	-2.6563755E-005	14	0.0000000E+000
-3.1695955E-002	-4.689407123278488E-004	2.187449944740365E+001	1.000000000000000E+000	-2.6587173E-005	14	0.0000000E+000
-3.1209355E-002	-4.666135835359846E-004	2.192439944614307E+001	1.000000000000000E+000	-2.6610418E-005	14	0.0000000E+000
-3.0680096E-002	-4.647964892793223E-004	2.197429944488249E+001	1.000000000000000E+000	-2.6633583E-005	14	0.0000000E+000
-3.0201361E-002	-4.628058613361918E-004	2.202429944361938E+001	1.000000000000000E+000	-2.6656693E-005	14	0.0000000E+000
-2.9747041E-002	-4.611769565010648E-004	2.207429944235628E+001	1.000000000000000E+000	-2.6679729E-005	14	0.0000000E+000
-2.9230092E-002	-4.592630631028386E-004	2.212409944109822E+001	1.000000000000000E+000	-2.6702552E-005	14	0.0000000E+000
-2.8662192E-002	-4.576659016690774E-004	2.217409943983512E+001	1.000000000000000E+000	-2.6725404E-005	14	0.0000000E+000
-2.8189823E-002	-4.552158147179851E-004	2.222409943857201E+001	1.000000000000000E+000	-2.6748130E-005	14	0.0000000E+000
-2.7681092E-002	-4.538518768950226E-004	2.227399943731143E+001	1.000000000000000E+000	-2.6770742E-005	14	0.0000000E+000
-2.7184583E-002	-4.516763039760577E-004	2.232389943605085E+001	1.000000000000000E+000	-2.6793236E-005	14	0.0000000E+000
-2.6738755E-002	-4.503336197861536E-004	2.237389943478775E+001	1.000000000000000E+000	-2.6815715E-005	14	0.0000000E+000
-2.6190963E-002	-4.477134206837350E-004	2.242379943352717E+001	1.000000000000000E+000	-2.6838023E-005	14	0.0000000E+000
-2.5677258E-002	-4.464514155179426E-004	2.247369943226659E+001	1.000000000000000E+000	-2.6860267E-005	14	0.0000000E+000
-2.5190033E-002	-4.442484545339933E-004	2.252369943100348E+001	1.000000000000000E+000	-2.6882442E-005	14	0.0000000E+000
-2.4692191E-002	-4.424652299419261E-004	2.257369942974037E+001	1.000000000000000E+000	-2.6904547E-005	14	0.0000000E+000
-2.4157263E-002	-4.402612305478507E-004	2.262359942847979E+001	1.000000000000000E+000	-2.6926480E-005	14	0.0000000E+000
-2.3702871E-002	-4.393499077398001E-004	2.267349942721921E+001	1.000000000000000E+000	-2.6948363E-005	14	0.0000000E+000
-2.3232628E-002	-4.371937081667117E-004	2.272349942595611E+001	1.000000000000000E+000	-2.6970167E-005	14	0.0000000E+000
-2.2672679E-002	-4.356223699681396E-004	2.277339942469553E+001	1.000000000000000E+000	-2.6991880E-005	14	0.0000000E+000
-2.2209343E-002	-4.332292117194617E-004	2.282329942343495E+001	1.000000000000000E+000	-2.7013466E-005	14	0.0000000E+000
-2.1713626E-002	-4.319794564380656E-004	2.287329942217184E+001	1.000000000000000E+000	-2.7035039E-005	14	0.0000000E+000
-2.1221088E-002	-4.297777159608552E-004	2.292329942090873E+001	1.000000000000000E+000	-2.7056483E-005	14	0.0000000E+000
-2.0730123E-002	-4.284599447026607E-004	2.297319941964815E+001	1.000000000000000E+000	-2.7077833E-005	14	0.0000000E+000
-2.0226464E-002	-4.259912382068532E-004	2.302309941838757E+001	1.000000000000000E+000	-2.7099048E-005	14	0.0000000E+000
-1.9681918E-002	-4.247419372685893E-004	2.307309941712447E+001	1.000000000000000E+000	-2.7120255E-005	14	0.0000000E+000
-1.9167660E-002	-4.224074350218152E-004	2.312299941586389E+001	1.000000000000000E+000	-2.7141303E-005	14	0.0000000E+000
-1.8658632E-002	-4.211670413918692E-004	2.317289941460331E+001	1.000000000000000E+000	-2.7162290E-005	14	0.0000000E+000
-1.8172467E-002	-4.191705356700725E-004	2.322289941334020E+001	1.000000000000000E+000	-2.7183203E-005	14	0.0000000E+000
-1.7661886E-002	-4.178072394743276E-004	2.327289941207709E+001	1.000000000000000E+000	-2.7204065E-005	14	0.0000000E+000
-1.7222758E-002	-4.158621402511036E-004	2.332279941081651E+001	1.000000000000000E+000	-2.7224767E-005	14	0.0000000E+000
-1.6673634E-002	-4.146528609774262E-004	2.337269940955593E+001	1.000000000000000E+000	-2.7245422E-005	14	0.0000000E+000
-1.6221436E-002	-4.121381351306682E-004	2.342269940829283E+001	1.000000000000000E+000	-2.7265996E-005	14	0.0000000E+000
-1.5711175E-002	-4.109598637125518E-004	2.347259940703225E+001	1.000000000000000E+000	-2.7286476E-005	14	0.0000000E+000
-1.5184351E-002	-4.086212315974848E-004	2.352249940577167E+001	1.000000000000000E+000	-2.7306831E-005	14	0.0000000E+000
-1.4696062E-002	-4.077127788075698E-004	2.357249940450856E+001	1.000000000000000E+000	-2.7327171E-005	14	0.0000000E+000
-1.4226881E-002	-4.052930062902887E-004	2.362249940324546E+001	1.000000000000000E+000	-2.7347402E-005	14	0.0000000E+000
-1.3702855E-002	-4.036560138226689E-004	2.367239940198488E+001	1.000000000000000E+000	-2.7367529E-005	14	0.0000000E+000
-1.3250303E-002	-4.022795758955977E-004	2.372229940072430E+001	1.000000000000000E+000	-2.7387547E-005	14	0.0000000E+000
-1.2690892E-002	-4.008145501427566E-004	2.377229939946119E+001	1.000000000000000E+000	-2.7407556E-005	14	0.0000000E+000
-1.2196648E-002	-3.985040956498475E-004	2.382219939820061E+001	1.000000000000000E+000	-2.7427406E-005	14	0.0000000E+000
-1.1676101E-002	-3.974292280762926E-004	2.387209939694003E+001	1.000000000000000E+000	-2.7447197E-005	14	0.0000000E+000
-1.1190996E-002	-3.954431945928354E-004	2.392209939567692E+001	1.000000000000000E+000	-2.7466916E-005	14	0.0000000E+000
-1.0709076E-002	-3.939697222440676E-004	2.397209939441382E+001	1.000000000000000E+000	-2.7486583E-005	14	0.0000000E+000
-1.0242149E-002	-3.918980713136459E-004	2.402199939315324E+001	1.000000000000000E+000	-2.7506103E-005	14	0.0000000E+000
-9.6910987E-003	-3.909690502762056E-004	2.407189939189266E+001	1.000000000000000E+000	-2.7525573E-005	14	0.0000000E+000
-9.2006866E-003	-3.884970925698162E-004	2.412189939062955E+001	1.000000000000000E+000	-2.7544962E-005	14	0.0000000E+000
-8.7002004E-003	-3.872662116211432E-004	2.417179938936897E+001	1.000000000000000E+000	-2.7564260E-005	14	0.0000000E+000
-8.2188006E-003	-3.850265206826881E-004	2.422169938810839E+001	1.000000000000000E+000	-2.7583446E-005	14	0.0000000E+000
-7.7570505E-003	-3.843404056565101E-004	2.427169938684528E+001	1.000000000000000E+000	-2.7602619E-005	14	0.0000000E+000
-7.2549614E-003	-3.820113947042856E-004	2.432169938558218E+001	1.000000000000000E+000	-2.7621678E-005	14	0.0000000E+000
-6.7486269E-003	-3.808213716561528E-004	2.437149938432412E+001	1.000000000000000E+000	-2.7640604E-005	14	0.0000000E+000
-6.2433542E-003	-3.789188815923692E-004	2.442149938306102E+001	1.000000000000000E+000	-2.7659509E-005	14	0.0000000E+000
-5.7115438E-003	-3.774099969865389E-004	2.447149938179791E+001	1.000000000000000E+000	-2.7678356E-005	14	0.0000000E+000
-5.1985933E-003	-3.757656175687281E-004	2.452139938053733E+001	1.000000000000000E+000	-2.7697055E-005	14	0.0000000E+000
-4.7328426E-003	-3.744195089735586E-004	2.457129937927675E+001	1.000000000000000E+000	-2.7715700E-005	14	0.0000000E+000
-4.2371228E-003	-3.728867906680304E-004	2.462129937801365E+001	1.000000000000000E+000	-2.7734282E-005	14	0.0000000E+000
-3.7435268E-003	-3.716673562484203E-004	2.467129937675054E+001	1.000000000000000E+000	-2.7752816E-005	14	0.0000000E+000
-3.2637294E-003	-3.691189411229989E-004	2.472109937549249E+001	1.000000000000000E+000	-2.7771159E-005	14	0.0000000E+000
